VehicleCount,Speed,Density
209,51.2,70.4
68,51.1,72.8
408,54.8,110.1
224,52.4,48.9
241,33.5,63.2
185,25.4,75.2
128,61.0,64.4
399,50.0,53.0
215,65.4,27.8
289,46.3,52.7
34,24.5,39.2
130,62.5,23.6
341,41.1,45.9
55,52.5,39.9
60,36.6,79.0
343,73.3,79.4
143,33.0,43.3
129,41.6,58.8
246,48.7,20.4
97,29.5,53.1
37,52.3,74.6
21,72.8,84.8
51,39.2,47.9
83,53.3,90.2
298,8.0,28.6
139,46.4,35.1
48,42.0,82.0
25,33.9,105.1
210,64.3,76.8
356,41.8,64.0
155,44.2,12.3
45,41.0,16.5
111,16.3,68.1
219,28.9,56.4
95,62.4,38.5
411,13.2,66.6
325,34.7,67.8
157,40.6,87.7
400,74.9,68.3
150,59.3,94.5
76,38.1,65.2
395,67.9,62.2
403,35.2,90.5
145,63.1,41.5
257,25.3,132.5
89,64.2,74.0
276,40.5,74.1
296,30.5,77.6
303,43.5,110.1
247,51.4,84.0
301,39.1,26.5
242,55.9,98.7
347,37.7,56.8
91,56.9,67.6
213,54.1,34.3
186,46.0,77.6
233,39.9,49.4
76,49.4,67.4
149,55.8,58.2
401,80.0,111.2
62,62.0,112.6
274,62.6,66.1
285,96.4,66.5
209,55.3,56.0
33,54.8,91.5
33,58.3,57.1
130,30.9,54.9
61,39.9,88.5
57,38.9,52.1
84,57.4,64.1
96,44.2,27.0
355,49.2,81.9
275,64.4,111.6
32,60.8,82.3
271,44.4,100.1
74,36.3,44.7
188,65.2,70.7
35,59.4,42.4
56,21.3,59.5
73,42.0,83.5
193,49.6,67.4
205,59.5,31.1
161,61.6,33.4
268,51.5,31.9
308,56.4,76.8
311,48.0,114.5
251,36.2,97.7
238,42.8,19.5
216,47.3,99.1
115,46.4,87.5
214,16.8,27.9
24,40.6,57.7
406,47.9,91.3
168,42.5,78.2
322,43.1,33.6
402,54.8,79.7
218,29.7,13.7
364,21.0,59.7
211,41.4,92.3
72,59.2,65.4
30,74.0,53.0
74,59.5,86.3
397,23.5,88.4
210,43.3,96.4
147,51.1,86.0
198,49.8,91.0
122,55.6,82.6
368,32.3,71.4
419,48.0,67.1
53,53.7,59.3
307,60.2,35.9
154,34.1,42.1
38,41.5,58.2
388,8.0,70.8
44,37.1,99.6
102,38.6,64.0
30,30.7,89.1
208,49.6,90.9
259,46.1,59.4
148,10.9,79.3
48,50.4,59.2
66,32.1,96.7
393,54.8,80.3
342,26.5,36.4
394,47.5,68.9
232,42.5,104.6
238,51.8,60.7
334,49.0,75.7
266,42.9,78.1
194,22.4,40.1
136,23.4,77.3
214,37.7,31.5
45,46.9,50.0
96,37.3,90.8
314,57.0,73.6
367,42.5,57.7
60,31.6,75.7
58,42.6,63.6
